日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
6/03,B-《高薪100幸福企業，無銷售客服首選》客服專員-信用卡客服(無業務銷售),永豐商業銀行股份有限公司,高雄市左營區,"27,600",1. 信用卡各類產品、業務諮詢服務及交易執行，需具服務熱忱。2. 需配合公司輪值白班、晚班及大夜班。          3. 為公司正式員工，非人力派遣人員。            4. 非業務性質工作。                            . 休假制度：排休制。                            6. 具銀行、各大行業電話客服相關經驗佳。,高雄市左營區,經歷不拘,專科,,6yir0,www.104.com.tw/job/6yir0?jobsource=2018indexpoc
6/01,櫃台主管-竹南分公司,群益金鼎證券股份有限公司,苗栗縣竹南鎮民族街87號5樓,待遇面議,1.營業員管理2.協助分公司業務推展及客戶開發,苗栗縣竹南鎮,5年以上,專科,上市上櫃,6s0ix,www.104.com.tw/job/6s0ix?jobsource=2018indexpoc
6/04,Senior Financial Accountant 資深財務/會計專員,澳洲商艾萊門窗股份有限公司台灣分公司,台中市北屯區敦化路一段509號11樓,"60,000","Role SummaryThe role will work closely with the National Finance Manager (who is based in Australia) and will be responsible for the preparation of the financial accounts and reporting requirements for all A&L entities as well as playing a crucial role in the continued implementation of SOX compliance requirements across the A&L Windows group.Requirements•	Finance/Accounting bachelor degree at an accredited university.•	Full accreditation with professional accounting body (CPA/CA/CIMA/ACCA).  •	Fluent in written and verbal English language.•	Minimum 5 years financial accounting experience.•	Minimum 2 years in leadership of a financial accounting team.•	Proficient use of SAP (ECC6 version – FI-CO modules) and Business Intelligence software applications•	Experience working in a medium to large NYSE listed company within a SOX compliance environment.•	Excellent communication and relationship building skills.•	Initiative, high integrity and ethics, and ability to work under modest direct supervision.•	A sense of urgency and attention to detail•	Foster a positive, customer focused, easy to do business with cultureResponsibilities•	Management of the Taiwan Financial accounting function in conjunction with the local accounting firm.•	Supervision and direction of the Taiwan accounting team.•	Accurate and timely preparation of financial accounts and month end close functions•	Accurate and timely preparation of monthly balance sheet reconciliations•	Preparation and review of all corporate reporting requirements and quarterly financial packs•	Support the implementation of Sarbanes Oxley controls across the A&L Group •	Sound data analysis and explanation of financial variances. •	Maintain accuracy of Taiwan payroll data posted into general ledger including cost centre allocations, reconciliation of leave balances and all payroll related on-cost.•	Complying with organisational, local and national compliance requirements•	Full responsibility for the Taiwan office functions including assisting the Branch Manager with all finance/administration related tasks.•	Contribute to business improvement opportunities – identification of areas for profit improvement and process and system efficiencies•	Compliance to policy and procedures, contributing to a strong internal control environment and standardised procedures.•	Assist with any other tasks as directed by the Australian Finance team",台中市北屯區,5年以上,大學,,6xxam,www.104.com.tw/job/6xxam?jobsource=2018indexpoc
6/03,投資專員(台北/新北地區)，歡迎同業轉任者加入,玉山綜合證券股份有限公司,台北市松山區『台北市、新北市』(依照地區性分發),"30,000",1.在薪資制度上，本公司營業員享有高底薪及團體績效獎金，雙重薪資福利制度。2.在業務推廣上，擁有玉山金控及事業群交叉行銷之穩定客源，開發潛力十足，並擁有多種優勢競爭產品之行銷利器。3.金融商品諮詢與推廣。4.本公司對於從事各職務之同仁,台北市松山區,經歷不拘,大學,員工560人,3lt8g,www.104.com.tw/job/3lt8g?jobsource=2018indexpoc
5/28,海外商品交易主管(高雄),國泰綜合證券股份有限公司,高雄市新興區中正三路55號3樓,待遇面議,1.負責推廣海外商品交易2.高底薪、超高獎金3.高高屏地區人員皆可4.須具備海外商品交易經驗(銀行理專、外商銀行、私人銀行、投信等相關經驗).需具備客戶開發能力與一定客戶基礎(必備),高雄市新興區,3年以上,大學,員工650人,5bpzj,www.104.com.tw/job/5bpzj?jobsource=2018indexpoc
2/10,行動銀行企劃人員,台北富邦商業銀行股份有限公司,台北市大安區,"38,000",1.經營行動銀行，透過數據分析洞悉客戶行為及使用需求，透過數位行銷與客戶溝通及黏著。2.研究行動金融趨勢，透過金融科技及跨界資源，將金融服務實現於各生活場域。,台北市大安區,3年以上,大學,員工6750人,5zfli,www.104.com.tw/job/5zfli?jobsource=2018indexpoc
6/04,資深理財專員(板橋分公司),永豐金證券股份有限公司,新北市板橋區中山路1段48號4樓,"32,000", 記錄及傳送證券、股票、公債、外匯等買賣訂單。. 執行客戶指定之交易事項。6. 負責證券、期貨、選擇權之開發及接單。7. 協銷各項金融商品（如：基金、保險及結構型商品）。8. 協助客戶進行投資理財規劃。9. 提供投資理財商品的諮,新北市板橋區,2年以上,專科,員工2100人,6wk18,www.104.com.tw/job/6wk18?jobsource=2018indexpoc
6/04,理財專員(台北/新北),華泰商業銀行股份有限公司,台北市中山區依人力需求分派大台北、新北地區,待遇面議,1.根據理財客戶需求及風險接受狀況，建議理財商品，以完成客戶的理財需求。2.掌握金融市場與經濟資訊脈動，定期檢視客戶資產組合，適時推薦符合客戶需求之標的。3.執行財管專案或行銷活動，以達成預定目標。4.深耕客戶關係，提供客戶金融商品與,台北市中山區,1年以上,專科,員工800人,5w6hm,www.104.com.tw/job/5w6hm?jobsource=2018indexpoc
5/07,高階財務主管,天成生醫科技股份有限公司,桃園市中壢區新街里延平路151-1號,待遇面議,   1.負責策略投資整合或產業分析   2.追蹤及掌握投資事業之營運並提作法   3.公司稅務分析及規劃   4.負責財務管理規劃並分析其他管理決策所需之管理會計資訊   5.各單位溝通協調及執行主管交辦專案及任務,桃園市中壢區,8年以上,大學,員工1000人,6f1j2,www.104.com.tw/job/6f1j2?jobsource=2018indexpoc
6/01,財務主管(泰國),Fanslink Communication Co. Ltd.,"泰國88 Paso tower floor 10th unit A2 Silom road, Suriyawong, Bangraak, Bangkok 10500",待遇面議,1.	統籌規劃與執行管理財務會計各項事務工作。2.	建立與落實內控、內稽制度，並協助導入ERP及會計帳務系統。3.	覆核各項會計作業，並規劃及檢討公司會計作業流程，以符合財會、稅務之規定及上市申請要求。4.	核算、審核記帳憑證，進行會計處理，編制和登記各類明細帳、總帳，負責月末結帳。 .	公司項目成本、費用的核算與歸集。6.	按時出具財務報表及管理評估報表，及時進行各稅種的納稅申報工作。7.	定期核閱財務報表，並針對異常項目進行分析檢討。 8.	年度預算的編制與管理，檢討每月各營運單位之營運結果、預算執行績效報告。,泰國,3年以上,大學,員工200人,69v0r,www.104.com.tw/job/69v0r?jobsource=2018indexpoc
