日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-05-06,臨時人員(高雄-B早),華南商業銀行股份有限公司,台北市信義區松仁路,"26,000",招攬及負責夢時代聯名卡推卡業務，每月每人基本要求需成功推展200卡。(休息日為週一及週二),高雄市前鎮區,經驗不拘,不拘,https://www.1111.com.tw/job/79798930/
2020-05-06,臨時人員(高雄-A早),華南商業銀行股份有限公司,台北市信義區松仁路,"26,000",招攬及負責夢時代聯名卡推卡業務，每月每人基本要求需成功推展200卡。(休息日為週三及週四),高雄市前鎮區,經驗不拘,不拘,https://www.1111.com.tw/job/79798642/
2020-05-29,經驗行員(台中地區),陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000","職務條件如下:1.專科以上學歷畢業。2.具二年以上銀行存匯、理財或授信經驗。要求條件 ● 一般商業學類,企業管理學類,財務金融學類 相關科系 ● 人身保險業務員,財產保險業務員,信託業業務人員信託業務專業測驗 專業憑證",台中市西區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91493994/
2020-06-02,經驗行員(高雄地區),陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000","職務條件如下:1.專科以上學歷畢業。2.具二年以上銀行存匯、理財或授信經驗。要求條件 ● 一般商業學類,企業管理學類,財務金融學類 相關科系 ● 人身保險業務員,財產保險業務員,信託業業務人員信託業務專業測驗 專業憑證",高雄市三民區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85039583/
2020-06-03,龍井分行-經驗行員,陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000","職務條件如下:1.專科以上商學科系畢業。2.具2年以上銀行存匯、理財或授信經驗。要求條件 ● 一般商業學類,企業管理學類,財務金融學類 相關科系 ● 人身保險業務員,財產保險業務員,信託業業務人員信託業務專業測驗 專業憑證",台中市龍井區,2年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85885633/
2020-06-02,行政管理處-電機工程人員(高雄),陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000","1.各分行低壓用電檢測。(需例行性出差)2.行舍開店、維修工程管理。3.機電、水電、空調、消防、弱電、裝修工程等規劃、評估及採購。4.規劃年度保養項目及採購。5.各行舍設備使用、保養、修繕執行。6.能針對機電、消防法規提出建議。7.配合政府機關查核作業及申報作業。8.協助其他採購及配合主管交辦事宜。要求條件 ● 電機工程學類,建築學類,冷凍空調學類 相關科系 ● 丙級用電設備檢驗技術士,乙級室內配線技術士,丙級室內配線技術士 專業憑證",高雄市左營區,2年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85082613/
2020-05-29,信用卡部-行銷企劃人員,陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000",1.信用卡業務企劃人員，負責信用卡發卡/行銷/廣宣/權益等活動企劃，同時熟悉信用卡商品發卡業務及收單業務者尤佳。2.須具信用卡發卡或活動企劃實務經驗，善與廠商溝通洽談及活動提案撰寫，具數據分析能力。,台北市北投區,2年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/79411511/
2020-06-02,信用卡部-客服/授權人員,陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000",電話客服業務,台北市北投區,2年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/77347682/
2020-06-05,中小企業業務專員 / 企金AO Business Banking (台中),渣打國際商業銀行股份有限公司,台北市松山區敦化北路,面議（經常性薪資4萬/月含以上）,1. 透過公司拜訪、電話行銷、客戶轉介等業務活動開拓新業務及新客戶。2. 與現有客戶建立穩健良好關係，延長客戶與我行之授信往來，提供增貸服務。3. 透過深化之客戶關係，增加銀行交叉銷售機會，轉介Payroll、保險、理財商機。4. 與業務主管討論每月業績達成行動計畫與目標，以達到預定之新客戶開發及各項業績目標。5. 充分了解所承作客戶狀況，強化風險意識，以協助確保公司債權。6. 遵循所有行內外相關法令及作業規範。7. 與分行通路有效配合溝通，維持良好關係，掌握分行轉介商機同時提供公司客戶良好服務品質。,台中市南屯區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85971726/
2020-06-05,中小企業業務專員 / 企金AO Business Banking (桃園市),渣打國際商業銀行股份有限公司,台北市松山區敦化北路,面議（經常性薪資4萬/月含以上）,1. 透過公司拜訪、電話行銷、客戶轉介等業務活動開拓新業務及新客戶。2. 與現有客戶建立穩健良好關係，延長客戶與我行之授信往來，提供增貸服務。3. 透過深化之客戶關係，增加銀行交叉銷售機會，轉介Payroll、保險、理財商機。4. 與業務主管討論每月業績達成行動計畫與目標，以達到預定之新客戶開發及各項業績目標。5. 充分了解所承作客戶狀況，強化風險意識，以協助確保公司債權。6. 遵循所有行內外相關法令及作業規範。7. 與分行通路有效配合溝通，維持良好關係，掌握分行轉介商機同時提供公司客戶良好服務品質。,桃園市桃園區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85911280/
2020-06-05,中小企業業務專員 / 企金AO Business Banking (板橋),渣打國際商業銀行股份有限公司,台北市松山區敦化北路,面議（經常性薪資4萬/月含以上）,1. 透過公司拜訪、電話行銷、客戶轉介等業務活動開拓新業務及新客戶。2. 與現有客戶建立穩健良好關係，延長客戶與我行之授信往來，提供增貸服務。3. 透過深化之客戶關係，增加銀行交叉銷售機會，轉介Payroll、保險、理財商機。4. 與業務主管討論每月業績達成行動計畫與目標，以達到預定之新客戶開發及各項業績目標。5. 充分了解所承作客戶狀況，強化風險意識，以協助確保公司債權。6. 遵循所有行內外相關法令及作業規範。7. 與分行通路有效配合溝通，維持良好關係，掌握分行轉介商機同時提供公司客戶良好服務品質。,新北市板橋區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/79571704/
2020-06-05,中小企業業務專員 / 企金AO Business Banking (新竹市),渣打國際商業銀行股份有限公司,台北市松山區敦化北路,面議（經常性薪資4萬/月含以上）,1. 透過公司拜訪、電話行銷、客戶轉介等業務活動開拓新業務及新客戶。2. 與現有客戶建立穩健良好關係，延長客戶與我行之授信往來，提供增貸服務。3. 透過深化之客戶關係，增加銀行交叉銷售機會，轉介Payroll、保險、理財商機。4. 與業務主管討論每月業績達成行動計畫與目標，以達到預定之新客戶開發及各項業績目標。5. 充分了解所承作客戶狀況，強化風險意識，以協助確保公司債權。6. 遵循所有行內外相關法令及作業規範。7. 與分行通路有效配合溝通，維持良好關係，掌握分行轉介商機同時提供公司客戶良好服務品質。,新竹市東區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/79571702/
