日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-07-05,投資總處專員,東森國際股份有限公司,台北市大安區復興南路,面議（經常性薪資4萬/月含以上）,(一)負責進行對國內外電子商務、新媒體、數位零售科技、數位電視公司進行業務合作、股權投資/購併相關之投資評估、洽商、投資作業及投資後管理。(二)規劃電子商務、新媒體、數位零售事業公開發行、募資及融資與上市櫃事宜。(三)協助新創事業之財務及業務發展規劃、集團業外投資收益規劃。資歷要求： (一)國內外大學以上畢，男女不拘，具英語或日語能力及財務模組規劃 (financial model) 能力，曾任職國內外數位零售及媒體產業高階 財務或投資部門主管職務者更佳。(二)曾任國內外創投/私募基金或投資銀行、券商承銷部門工作資歷五至十年以上，熟諳國內外電子商務、新媒體、零售產業業務合作、股權投資及購併相關之投資評估、洽商、投資作業及投資後管理實務經驗，具實際負責上市櫃作業經歷能獨當一面能力佳。,台北市大安區,5年工作經驗以上,"大學,碩士,博士",https://www.1111.com.tw/job/80265331/
2020-07-05,營業員(新莊分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"30,000","1.負責證券、期貨、選擇權之開發及接單。2.協銷各項金融商品（如：基金、保險及結構型商品）。3.協助客戶進行投資理財規劃。4.提供投資理財商品的諮詢服務。要求條件 ● 證券商業務員,期貨商業務員,金融市場常識與職業道德 專業憑證",新北市新莊區,經驗不拘,"高中職,專科,大學",https://www.1111.com.tw/job/80137607/
2020-07-04,無經驗營業員(內湖分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。2.協銷各項金融商品（如：基金、保險及結構型商品）。3.協助客戶進行投資理財規劃。4.提供投資理財商品的諮詢服務。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市內湖區,經驗不拘,"專科,大學",https://www.1111.com.tw/job/91518330/
2020-07-04,有經驗營業員(內湖分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"30,000","1.負責證券、期貨、選擇權之開發及接單。2.協銷各項金融商品（如：基金、保險及結構型商品）。3.協助客戶進行投資理財規劃。4.提供投資理財商品的諮詢服務。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市內湖區,經驗不拘,"專科,大學",https://www.1111.com.tw/job/91518323/
2020-07-05,無經驗營業員(天母分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市中山區,經驗不拘,"專科,大學",https://www.1111.com.tw/job/91258777/
2020-07-05,無經驗營業員(埔墘分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新北市板橋區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91141791/
2020-07-05,有經驗營業員(斗南分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"30,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",雲林縣斗南鎮,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91119965/
2020-07-07,新營分公司營業員,統一綜合證券股份有限公司-總公司 (統一證券),台北市松山區東興路,"23,800",1.有價證券受託買賣 2.客戶開發 3.投資理財諮詢要求條件 ● 證券商業務員 專業憑證,台南市新營區,經驗不拘,"專科,大學",https://www.1111.com.tw/job/85961356/
2020-07-05,營業員(桃園分公司)-1,兆豐證券股份有限公司,台北市中正區忠孝東路,面議（經常性薪資4萬/月含以上）,"1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5.負責法人及VIP客戶的綜合資產管理。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",桃園市桃園區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91163245/
2020-07-05,營業員(台中港分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5. 除月薪外銷售以上商品, 獎金另計 。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台中市沙鹿區,經驗不拘,"專科,大學",https://www.1111.com.tw/job/78591228/
2020-07-05,營業員(松德分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"30,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及債券）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5.除月薪外銷售以上商品, 獎金另計要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市信義區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/80263684/
2020-07-05,營業員(新竹分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5.除月薪外銷售以上商品, 獎金另計",新竹市東區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/79761440/
2020-07-07,嘉義分公司營業員,統一綜合證券股份有限公司-總公司 (統一證券),台北市松山區東興路,"23,800",1.有價證券受託買賣 2.客戶資產理財諮詢 3.客戶開發拜訪要求條件 ● 證券商業務員 專業憑證,嘉義市東區,經驗不拘,"專科,大學,碩士",https://www.1111.com.tw/job/85961438/
2020-07-02,資深業務員,福邦證券股份有限公司,台北市中正區忠孝西路,"30,000",1.負責證券、期貨、選擇權之開發及接單。2.協助客戶進行投資理財規劃。3.提供投資理財商品的諮詢服務。4.注重股票買賣業務本體，無須進行基金、保險、信用卡、複委託等金融業務之推廣。要求條件 ● 證券商業務員 專業憑證,台北市中正區,1年工作經驗以上,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/79753974/
2020-07-05,營業員-中壢分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",桃園市中壢區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769417/
2020-07-05,營業員-古亭分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市中正區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769399/
2020-07-05,營業員-竹南分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",苗栗縣竹南鎮,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769356/
2020-07-05,營業員-永和分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新北市永和區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769334/
2020-07-08,企金高專電銷業務人員,富翔國際企業有限公司.,新北市板橋區文化路,"25,000",1.對名單客戶進行電話開發銀行企業貸款。2.開發客戶，辦理銀行企業金融產品。,新北市板橋區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/79882201/
2020-07-05,營業員(中壢分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5. 除月薪外銷售以上商品, 獎金另計 。要求條件 ● 證券商業務員,期貨商業務員,信託業業務人員信託業務專業測驗 專業憑證",桃園市中壢區,經驗不拘,"專科,大學",https://www.1111.com.tw/job/79760553/
2020-07-05,無經驗營業員(桃鶯分公司) ,兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5. 除月薪外銷售以上商品, 獎金另計 。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",桃園市桃園區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85849187/
2020-07-06,營業員(大同分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,面議（經常性薪資4萬/月含以上）,"1.負責證券、期貨、選擇權之開發及接單。2.協銷各項金融商品（如：基金、保險及結構型商品）。3.協助客戶進行投資理財規劃。4.提供投資理財商品的諮詢服務。5.負責法人及VIP客戶的綜合資產管理。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市大同區,經驗不拘,"專科,大學",https://www.1111.com.tw/job/79760541/
2020-07-05,營業員(桃園分公司),兆豐證券股份有限公司,台北市中正區忠孝東路,面議（經常性薪資4萬/月含以上）,"1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5.負責法人及VIP客戶的綜合資產管理。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",桃園市桃園區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/78550002/
2020-07-05,無經驗營業員(東門分公司) ,兆豐證券股份有限公司,台北市中正區忠孝東路,"25,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5.除月薪外銷售以上商品, 獎金另計 。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市中正區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85864125/
2020-07-05,有經驗營業員(東門分公司) ,兆豐證券股份有限公司,台北市中正區忠孝東路,"30,000","1.負責證券、期貨、選擇權之開發及接單。 2.協銷各項金融商品（如：基金、保險及結構型商品）。 3.協助客戶進行投資理財規劃。 4.提供投資理財商品的諮詢服務。 5.除月薪外銷售以上商品, 獎金另計 。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市中正區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85864118/
2020-07-05,營業員-中港分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台中市梧棲區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636618/
2020-07-05,營業員-崇德分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台中市北屯區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636612/
2020-07-05,營業員-館前分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市中正區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636557/
