日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
5/11,全職英譯中編審 (金融類),萬象翻譯股份有限公司,台北市松山區復興北路57號14樓(揚昇商業大樓-捷運文湖線/松山新店線-南京復興站),待遇面議,1. 承接英翻繁體中文翻譯專案（銀行金融、證券期貨、財務報告......等）2. 英翻繁中稿件審稿（確保譯文正確流暢，格式及風格等符合客戶要求）3. 協助繁體中文專案的前期及後續處理**需先通過測試之後才會安排面試**(編審薪資依,台北市松山區,1年以上,大學,員工100人,6isoj,www.104.com.tw/job/6isoj?jobsource=2018indexpoc
7/06,【微型企業】金融行銷業務人員（新竹）,中租控股_中租迪和股份有限公司,新竹縣竹北市勝利一路1號7樓,"37,000",主要服務營運週轉金需求較小的微型/新創企業，客戶家數最多，快速累積各行業知識與企業授信實務。若您希望…歡迎投遞本職缺!-追求薪資獎金快速成長/升遷管道透明暢通-獲得業務開發/財務管理/產業分析/風險控管的能力-接受國際認證的員工培訓及輔導員一對一的指導-擁有派外發展的舞台 -成為企業主信賴的財務顧問在這份工作中，您需要從事：1. 企業客戶名單蒐集2. 電話推廣有潛力客戶3. 拜訪客戶，確認其需求4. 提出客製化解決方案. 業審溝通共同評估風險與達成業績目標6. 客戶透過中租的協助實現其願景7. 維繫客戶關係，並在下次服務時提供更高的附加價值您需要具備的特質：-在面對業務開發的挫折時，能持續尋求問題解決的方式、突破困境、不輕易放棄。-在面對工作任務時，能夠迅速回應，採取行動，擁有超越目標的企圖心。-在面對瞬息萬變的企業動態時，能樂於不斷學習新知，自我成長突破。備註：本職缺通過試用後，有機會透過內部徵選加入亞太MA(海外業務儲備幹部)專案更多資訊，請見「中租人才招募網」https://www.hr5871.chailease.com.tw/chailease.html,新竹縣竹北市,經歷不拘,大學,員工1400人,2zn06,www.104.com.tw/job/2zn06?jobsource=2018indexpoc
7/05,法金融資業務專員,某商業銀行,新北市中和區連城路,待遇面議,"法人金融業務徵授信請具備以下經驗擇一即可:銀行,保險公司 或租賃公司",新北市中和區,2年以上,專科,,6rrkt,www.104.com.tw/job/6rrkt?jobsource=2018indexpoc
7/06,分行-房信貸業務人員(宜蘭地區),永豐商業銀行股份有限公司,宜蘭縣宜蘭市宜蘭區域依公司規定分派,"34,000",《個金業務-房貸》1. 負責金融授信客戶之開拓，維護與信用評估及風險控管2. 個人放款商品(房、信貸)業務推廣3. 因應客戶需求，轉介相關商品(基金、保險等...),宜蘭縣宜蘭市,2年以上,大學,,6wo2v,www.104.com.tw/job/6wo2v?jobsource=2018indexpoc
7/06,理財顧問,鉅鵬投資理財顧問有限公司,新竹市北區北門里北大路180號4樓之1,"25,000",1.提供客戶投資前途及財務狀況分析。2.規劃儲蓄、基金、債券、及其他財務金融資產配置。3.提供客戶完整理財之諮詢與規劃。4.製作理財規劃報告書.開發高端客戶。,新竹市,3年以上,高中,員工10人,46309,www.104.com.tw/job/46309?jobsource=2018indexpoc
7/08,新光銀行-理財專員(松山分行),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市信義區忠孝東路五段510號,"35,000",1.根據一般理財客戶需求及風險接受狀況，建議及銷售既有金融理財各項商品，以達成個人業務目標。2.隨時掌握股市與經濟資訊脈動，定期檢視客戶資產組合，適時推薦最適合之金融商品與服務，並適時處理業務轉介，以深耕客戶關係並達成業務目標3.執行各項理財,台北市信義區,1年以上,大學,上市上櫃,4su4f,www.104.com.tw/job/4su4f?jobsource=2018indexpoc
5/28,元大銀行-存匯人員(全台各分行),元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區依照公司規定分派,"30,000", ,台北市松山區,經歷不拘,大學,上市上櫃,3abxu,www.104.com.tw/job/3abxu?jobsource=2018indexpoc
7/03,(智能金融處)機器學習平台工程師,玉山銀行_玉山商業銀行股份有限公司,台北市松山區民生東路三段115號,待遇面議,身處數位金融轉型年代的你，想要在這個翻轉的時代軋上一角？ 對巨量結構化資料、半結構化資料甚至非結構化資料的分析、處理與儲存是否具有高度興趣？ 對打造機器學習平台及系統軟體框架是否具有一股熱血？ 是否有種衝動想挑戰把機器學習建構在分散式系統及微服務,台北市松山區,經歷不拘,碩士,上市上櫃,6rp6s,www.104.com.tw/job/6rp6s?jobsource=2018indexpoc
6/11,元大領航計劃-理財業務菁英(艋舺分公司),元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市萬華區西園路一段200號B1,"25,000",負責經紀業務之受託買賣及兩權(權證/選擇權)、複委託、基金、保險等商品之銷售及推廣我們有最完整的教育訓練規劃，整包元大know how帶著走，讓您贏在起跑線!!歡迎您的投遞履歷,台北市萬華區,經歷不拘,學歷不拘,上市上櫃,4c4ak,www.104.com.tw/job/4c4ak?jobsource=2018indexpoc
6/11,元大領航計劃-理財業務菁英(林森分公司),元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台南市東區台南市東區林森路二段90號B1,"25,000",負責經紀業務之受託買賣及兩權(權證/選擇權)、複委託、基金、保險等商品之銷售及推廣我們有最完整的教育訓練規劃，整包元大know how帶著走，讓您贏在起跑線!!歡迎您的投遞履歷,台南市東區,經歷不拘,學歷不拘,上市上櫃,4c4o1,www.104.com.tw/job/4c4o1?jobsource=2018indexpoc
